"id","stage","date","team_a","team_b","team_a_flag","team_b_flag","score_a","score_b","status"
"42","Grupo I","2026-06-22 17:00","França","Vencedor Repescagem FIFA 2","🇫🇷","🏳️","","","scheduled"
"43","Grupo I","2026-06-22 20:00","Noruega","Senegal","🇳🇴","🇸🇳","","","scheduled"
"44","Grupo J","2026-06-22 23:00","Jordânia","Argélia","🇯🇴","🇩🇿","","","scheduled"
"45","Grupo K","2026-06-23 13:00","Portugal","Uzbequistão","🇵🇹","🇺🇿","","","scheduled"
"46","Grupo L","2026-06-23 16:00","Inglaterra","Gana","🏴󠁧󠁢󠁥󠁮󠁧󠁿","🇬🇭","","","scheduled"
"47","Grupo L","2026-06-23 19:00","Panamá","Croácia","🇵🇦","🇭🇷","","","scheduled"
"48","Grupo K","2026-06-23 22:00","Colômbia","Vencedor Repescagem FIFA 1","🇨🇴","🏳️","","","scheduled"
"49","Grupo B","2026-06-24 15:00","Suíça","Canadá","🇨🇭","🇨🇦","","","scheduled"
"50","Grupo B","2026-06-24 15:00","Vencedor Repescagem UEFA A","Catar","🏳️","🇶🇦","","","scheduled"
"51","Grupo C","2026-06-24 18:00","Escócia","Brasil","🏴󠁧󠁢󠁳󠁣󠁴󠁿","🇧🇷","","","scheduled"
"52","Grupo C","2026-06-24 18:00","Marrocos","Haiti","🇲🇦","🇭🇹","","","scheduled"
"53","Grupo A","2026-06-24 21:00","Vencedor Repescagem UEFA D","México","🏳️","🇲🇽","","","scheduled"
"54","Grupo A","2026-06-24 21:00","África do Sul","Coreia do Sul","🇿🇦","🇰🇷","","","scheduled"
"55","Grupo E","2026-06-25 16:00","Curaçau","Costa do Marfim","🇨🇼","🇨🇮","","","scheduled"
"56","Grupo E","2026-06-25 16:00","Equador","Alemanha","🇪🇨","🇩🇪","","","scheduled"
"57","Grupo F","2026-06-25 19:00","Japão","Vencedor Repescagem UEFA B","🇯🇵","🏳️","","","scheduled"
"58","Grupo F","2026-06-25 19:00","Tunísia","Holanda","🇹🇳","🇳🇱","","","scheduled"
"59","Grupo D","2026-06-25 22:00","Vencedor Repescagem UEFA C","Estados Unidos","🏳️","🇺🇸","","","scheduled"
"60","Grupo D","2026-06-25 22:00","Paraguai","Austrália","🇵🇾","🇦🇺","","","scheduled"
"61","Grupo I","2026-06-26 15:00","Noruega","França","🇳🇴","🇫🇷","","","scheduled"
"62","Grupo I","2026-06-26 15:00","Senegal","Vencedor Repescagem FIFA 2","🇸🇳","🏳️","","","scheduled"
"63","Grupo H","2026-06-26 20:00","Cabo Verde","Arábia Saudita","🇨🇻","🇸🇦","","","scheduled"
"64","Grupo H","2026-06-26 20:00","Uruguai","Espanha","🇺🇾","🇪🇸","","","scheduled"
"65","Grupo G","2026-06-26 23:00","Egito","Irã","🇪🇬","🇮🇷","","","scheduled"
"66","Grupo G","2026-06-26 23:00","Nova Zelândia","Bélgica","🇳🇿","🇧🇪","","","scheduled"
"67","Grupo L","2026-06-27 17:00","Panamá","Inglaterra","🇵🇦","🏴󠁧󠁢󠁥󠁮󠁧󠁿","","","scheduled"
"68","Grupo L","2026-06-27 17:00","Croácia","Gana","🇭🇷","🇬🇭","","","scheduled"
"69","Grupo K","2026-06-27 19:30","Colômbia","Portugal","🇨🇴","🇵🇹","","","scheduled"
"70","Grupo K","2026-06-27 19:30","Vencedor Repescagem FIFA 1","Uzbequistão","🏳️","🇺🇿","","","scheduled"
"71","Grupo J","2026-06-27 22:00","Argélia","Áustria","🇩🇿","🇦🇹","","","scheduled"
"72","Grupo J","2026-06-27 22:00","Jordânia","Argentina","🇯🇴","🇦🇷","","","scheduled"
"73","Fase de 32","2026-06-28 15:00","2Âº Grupo A","2Âº Grupo B","🏳️","🏳️","","","scheduled"
"74","Fase de 32","2026-06-29 13:00","1Âº Grupo C","2Âº Grupo F","🏳️","🏳️","","","scheduled"
"75","Fase de 32","2026-06-29 16:30","1Âº Grupo E","Melhor 3Âº Gr. A/B/C/D/F","🏳️","🏳️","","","scheduled"
"76","Fase de 32","2026-06-29 21:00","1Âº Grupo F","2Âº Grupo C","🏳️","🏳️","","","scheduled"
"77","Fase de 32","2026-06-30 13:00","2Âº Grupo E","2Âº Grupo I","🏳️","🏳️","","","scheduled"
"78","Fase de 32","2026-06-30 17:00","1Âº Grupo I","Melhor 3Âº Gr. C/D/F/G/H","🏳️","🏳️","","","scheduled"
"79","Fase de 32","2026-06-30 21:00","1Âº Grupo A","Melhor 3Âº Gr. C/E/F/H/I","🏳️","🏳️","","","scheduled"
"80","Fase de 32","2026-07-01 12:00","1Âº Grupo L","Melhor 3Âº Gr. E/H/I/J/K","🏳️","🏳️","","","scheduled"
"81","Fase de 32","2026-07-01 16:00","1Âº Grupo G","Melhor 3Âº Gr. A/E/H/I/J","🏳️","🏳️","","","scheduled"
"82","Fase de 32","2026-07-01 20:00","1Âº Grupo D","Melhor 3Âº Gr. B/E/F/I/J","🏳️","🏳️","","","scheduled"
"83","Fase de 32","2026-07-02 15:00","1Âº Grupo H","2Âº Grupo J","🏳️","🏳️","","","scheduled"
"84","Fase de 32","2026-07-02 19:00","2Âº Grupo K","2Âº Grupo L","🏳️","🏳️","","","scheduled"
"85","Fase de 32","2026-07-02 23:00","1Âº Grupo B","Melhor 3Âº Gr. E/F/G/I/J","🏳️","🏳️","","","scheduled"
"86","Fase de 32","2026-07-03 14:00","2Âº Grupo D","2Âº Grupo G","🏳️","🏳️","","","scheduled"
"87","Fase de 32","2026-07-03 18:00","1Âº Grupo J","2Âº Grupo H","🏳️","🏳️","","","scheduled"
"88","Fase de 32","2026-07-03 21:30","1Âº Grupo K","Melhor 3Âº Gr. D/E/I/J/L","🏳️","🏳️","","","scheduled"
"89","Oitavas de Final","2026-07-04 13:00","Vencedor Jogo 73","Vencedor Jogo 75","🏳️","🏳️","","","scheduled"
"90","Oitavas de Final","2026-07-04 17:00","Vencedor Jogo 74","Vencedor Jogo 77","🏳️","🏳️","","","scheduled"
"91","Oitavas de Final","2026-07-05 16:00","Vencedor Jogo 76","Vencedor Jogo 78","🏳️","🏳️","","","scheduled"
"92","Oitavas de Final","2026-07-05 20:00","Vencedor Jogo 79","Vencedor Jogo 80","🏳️","🏳️","","","scheduled"
"93","Oitavas de Final","2026-07-06 15:00","Vencedor Jogo 83","Vencedor Jogo 84","🏳️","🏳️","","","scheduled"
"94","Oitavas de Final","2026-07-06 20:00","Vencedor Jogo 81","Vencedor Jogo 82","🏳️","🏳️","","","scheduled"
"95","Oitavas de Final","2026-07-07 12:00","Vencedor Jogo 86","Vencedor Jogo 88","🏳️","🏳️","","","scheduled"
"96","Oitavas de Final","2026-07-07 16:00","Vencedor Jogo 85","Vencedor Jogo 87","🏳️","🏳️","","","scheduled"
"97","Quartas de Final","2026-07-09 16:00","Vencedor Jogo 89","Vencedor Jogo 90","🏳️","🏳️","","","scheduled"
"98","Quartas de Final","2026-07-10 15:00","Vencedor Jogo 93","Vencedor Jogo 94","🏳️","🏳️","","","scheduled"
"99","Quartas de Final","2026-07-11 17:00","Vencedor Jogo 91","Vencedor Jogo 92","🏳️","🏳️","","","scheduled"
"100","Quartas de Final","2026-07-11 21:00","Vencedor Jogo 95","Vencedor Jogo 100","🏳️","🏳️","","","scheduled"
"101","Semifinal","2026-07-14 15:00","Vencedor Jogo 97","Vencedor Jogo 98","🏳️","🏳️","","","scheduled"
"102","Semifinal","2026-07-15 15:00","Vencedor Jogo 99","Vencedor Jogo 100","🏳️","🏳️","","","scheduled"
"103","3º Lugar","2026-07-18 17:00","Perdedor Jogo 101","Perdedor Jogo 102","🏳️","🏳️","","","scheduled"
"104","Final","2026-07-19 15:00","Vencedor Jogo 101","Vencedor Jogo 102","🏳️","🏳️","","","scheduled"
